0,1,2,3,4,5,6,7,8
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec,stop hour,stop min
5112,138-1,13분,2020-06-03,17,4,4,17,17
5147,138-1,1분,2020-06-03,17,4,7,17,5
5148,138-1,1분,2020-06-03,17,4,8,17,5
5149,138-1,2분,2020-06-03,17,4,10,17,6
5150,138-1,3분,2020-06-03,17,4,11,17,7
5152,138-1,4분,2020-06-03,17,4,13,17,8
5154,138-1,5분,2020-06-03,17,4,14,17,9
5158,138-1,7분,2020-06-03,17,4,16,17,11
5193,138-1,9분,2020-06-03,17,4,18,17,13
5321,138-1,12분,2020-06-03,17,4,19,17,16
5277,138-1,1분,2020-06-03,17,4,21,17,5
5253,138-1,2분,2020-06-03,17,4,22,17,6
5257,138-1,4분,2020-06-03,17,4,24,17,8
5259,138-1,5분,2020-06-03,17,4,25,17,9
7034,138-1,7분,2020-06-03,17,4,27,17,11
7168,138-1,8분,2020-06-03,17,4,28,17,12
7035,138-1,9분,2020-06-03,17,4,30,17,13
7067,138-1,13분,2020-06-03,17,4,32,17,17
7043,138-1,13분,2020-06-03,17,4,33,17,17
5357,138-1,1분,2020-06-03,17,4,36,17,5
5358,138-1,4분,2020-06-03,17,4,38,17,8
5190,138-1,11분,2020-06-03,17,4,39,17,15
5192,138-1,12분,2020-06-03,17,4,41,17,16
5340,138-1,15분,2020-06-03,17,4,42,17,19
5155,138-1,16분,2020-06-03,17,4,44,17,20
5153,138-1,18분,2020-06-03,17,4,46,17,22
5292,138-1,18분,2020-06-03,17,4,47,17,22
5101,138-1,20분,2020-06-03,17,4,49,17,24
5102,138-1,20분,2020-06-03,17,4,50,17,24
5103,138-1,22분,2020-06-03,17,4,52,17,26
5104,138-1,23분,2020-06-03,17,4,53,17,27
5108,138-1,24분,2020-06-03,17,4,55,17,28
15111,138-1,1분,2020-06-03,17,4,58,17,5
15117,138-1,2분,2020-06-03,17,5,0,17,7
15121,138-1,4분,2020-06-03,17,5,1,17,9
15283,138-1,5분,2020-06-03,17,5,3,17,10
15098,138-1,5분,2020-06-03,17,5,5,17,10
15081,138-1,7분,2020-06-03,17,5,6,17,12
15254,138-1,7분,2020-06-03,17,5,8,17,12
15073,138-1,12분,2020-06-03,17,5,9,17,17
15069,138-1,15분,2020-06-03,17,5,11,17,20
15143,138-1,1분,2020-06-03,17,5,14,17,6
