0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
1056,17,3분,2020-06-03,17,05,26
2091,17,1분,2020-06-03,17,05,29
2102,17,3분,2020-06-03,17,05,31
2109,17,5분,2020-06-03,17,05,32
2114,17,6분,2020-06-03,17,05,34
2122,17,7분,2020-06-03,17,05,36
2123,17,7분,2020-06-03,17,05,37
2124,17,8분,2020-06-03,17,05,39
1041,17,3분,2020-06-03,17,05,40
1032,17,4분,2020-06-03,17,05,42
3095,17,4분,2020-06-03,17,05,46
3120,17,5분,2020-06-03,17,05,47
3138,17,7분,2020-06-03,17,05,49
3175,17,8분,2020-06-03,17,05,50
5712,17,1분,2020-06-03,17,05,55
5710,17,2분,2020-06-03,17,05,57
5189,17,6분,2020-06-03,17,05,59
5192,17,8분,2020-06-03,17,06,00
5340,17,11분,2020-06-03,17,06,02
5155,17,11분,2020-06-03,17,06,03
5087,17,13분,2020-06-03,17,06,05
5084,17,15분,2020-06-03,17,06,07
5320,17,1분,2020-06-03,17,06,08
5008,17,1분,2020-06-03,17,06,09
5074,17,2분,2020-06-03,17,06,11
5302,17,3분,2020-06-03,17,06,13
5290,17,4분,2020-06-03,17,06,14
5236,17,2분,2020-06-03,17,06,16
5233,17,4분,2020-06-03,17,06,17
5228,17,1분,2020-06-03,17,06,19
3002,17,3분,2020-06-03,17,06,20
3136,17,4분,2020-06-03,17,06,22
3107,17,2분,2020-06-03,17,06,23
3111,17,3분,2020-06-03,17,06,25
3099,17,3분,2020-06-03,17,06,27
3082,17,6분,2020-06-03,17,06,29
3054,17,8분,2020-06-03,17,06,30
1042,17,2분,2020-06-03,17,06,34
1056,17,3분,2020-06-03,17,06,35
1073,17,5분,2020-06-03,17,06,37
2091,17,7분,2020-06-03,17,06,38
2102,17,2분,2020-06-03,17,06,40
2109,17,3분,2020-06-03,17,06,41
2114,17,4분,2020-06-03,17,06,43
2122,17,5분,2020-06-03,17,06,45
2123,17,5분,2020-06-03,17,06,46
2124,17,6분,2020-06-03,17,06,48
1041,17,3분,2020-06-03,17,06,49
1032,17,4분,2020-06-03,17,06,51
3060,17,6분,2020-06-03,17,06,53
3095,17,3분,2020-06-03,17,06,54
3120,17,4분,2020-06-03,17,06,56
3138,17,6분,2020-06-03,17,06,58
3175,17,7분,2020-06-03,17,06,59
3015,17,8분,2020-06-03,17,07,01
5227,17,2분,2020-06-03,17,07,02
5710,17,1분,2020-06-03,17,07,06
5189,17,4분,2020-06-03,17,07,07
5192,17,6분,2020-06-03,17,07,09
5340,17,9분,2020-06-03,17,07,11
5155,17,10분,2020-06-03,17,07,12
5087,17,12분,2020-06-03,17,07,14
5084,17,14분,2020-06-03,17,07,15
5320,17,15분,2020-06-03,17,07,17
