0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
10078,68,3분,2020-06-03,17,05,13
10081,68,3분,2020-06-03,17,05,15
10087,68,4분,2020-06-03,17,05,17
10092,68,5분,2020-06-03,17,05,18
10093,68,6분,2020-06-03,17,05,20
15199,68,9분,2020-06-03,17,05,21
15200,68,1분,2020-06-03,17,05,23
15189,68,2분,2020-06-03,17,05,25
15196,68,2분,2020-06-03,17,05,26
15186,68,3분,2020-06-03,17,05,28
15175,68,4분,2020-06-03,17,05,29
15174,68,5분,2020-06-03,17,05,31
15168,68,1분,2020-06-03,17,05,32
15165,68,2분,2020-06-03,17,05,34
15164,68,3분,2020-06-03,17,05,36
15154,68,1분,2020-06-03,17,05,37
15152,68,2분,2020-06-03,17,05,39
15124,68,4분,2020-06-03,17,05,40
15118,68,5분,2020-06-03,17,05,42
15115,68,7분,2020-06-03,17,05,43
15113,68,1분,2020-06-03,17,05,45
5112,68,2분,2020-06-03,17,05,47
5060,68,2분,2020-06-03,17,05,51
5006,68,3분,2020-06-03,17,05,53
5269,68,5분,2020-06-03,17,05,54
5195,68,6분,2020-06-03,17,05,56
5319,68,2분,2020-06-03,17,05,58
5236,68,3분,2020-06-03,17,05,59
5234,68,5분,2020-06-03,17,06,01
5230,68,6분,2020-06-03,17,06,02
3149,68,1분,2020-06-03,17,06,06
7079,68,1분,2020-06-03,17,06,07
7045,68,3분,2020-06-03,17,06,09
3145,68,6분,2020-06-03,17,06,11
3150,68,7분,2020-06-03,17,06,12
5221,68,8분,2020-06-03,17,06,14
5227,68,1분,2020-06-03,17,06,15
5712,68,2분,2020-06-03,17,06,17
5710,68,3분,2020-06-03,17,06,18
5190,68,2분,2020-06-03,17,06,20
5194,68,4분,2020-06-03,17,06,22
5069,68,1분,2020-06-03,17,06,25
5109,68,3분,2020-06-03,17,06,27
5345,68,2분,2020-06-03,17,06,30
5110,68,3분,2020-06-03,17,06,32
15111,68,3분,2020-06-03,17,06,33
15116,68,5분,2020-06-03,17,06,35
15125,68,1분,2020-06-03,17,06,36
15151,68,2분,2020-06-03,17,06,38
15153,68,3분,2020-06-03,17,06,39
15163,68,5분,2020-06-03,17,06,41
15166,68,1분,2020-06-03,17,06,43
15167,68,2분,2020-06-03,17,06,44
15173,68,3분,2020-06-03,17,06,46
15176,68,4분,2020-06-03,17,06,47
15188,68,2분,2020-06-03,17,06,50
15201,68,3분,2020-06-03,17,06,52
10075,68,1분,2020-06-03,17,06,55
10088,68,3분,2020-06-03,17,06,57
10084,68,4분,2020-06-03,17,06,59
10232,68,5분,2020-06-03,17,07,01
10077,68,3분,2020-06-03,17,07,02
10078,68,3분,2020-06-03,17,07,04
10087,68,1분,2020-06-03,17,07,07
10092,68,2분,2020-06-03,17,07,09
10093,68,2분,2020-06-03,17,07,11
15199,68,5분,2020-06-03,17,07,12
15200,68,6분,2020-06-03,17,07,14
15189,68,7분,2020-06-03,17,07,16
15186,68,1분,2020-06-03,17,07,19
15175,68,2분,2020-06-03,17,07,20
15174,68,3분,2020-06-03,17,07,22
15168,68,4분,2020-06-03,17,07,24
15165,68,5분,2020-06-03,17,07,25
15154,68,2분,2020-06-03,17,07,28
15124,68,2분,2020-06-03,17,07,31
15118,68,3분,2020-06-03,17,07,33
15115,68,5분,2020-06-03,17,07,34
15113,68,6분,2020-06-03,17,07,36
5343,68,1분,2020-06-03,17,07,39
5144,68,2분,2020-06-03,17,07,41
5060,68,1분,2020-06-03,17,07,42
5006,68,2분,2020-06-03,17,07,44
5269,68,4분,2020-06-03,17,07,46
5195,68,5분,2020-06-03,17,07,47
5236,68,1분,2020-06-03,17,07,51
5234,68,2분,2020-06-03,17,07,52
5230,68,4분,2020-06-03,17,07,54
5215,68,6분,2020-06-03,17,07,56
3149,68,7분,2020-06-03,17,07,58
7045,68,2분,2020-06-03,17,08,01
3145,68,4분,2020-06-03,17,08,02
3150,68,5분,2020-06-03,17,08,04
5221,68,6분,2020-06-03,17,08,06
5227,68,8분,2020-06-03,17,08,07
5712,68,1분,2020-06-03,17,08,09
5710,68,2분,2020-06-03,17,08,11
5190,68,5분,2020-06-03,17,08,12
5194,68,2분,2020-06-03,17,08,14
5268,68,3분,2020-06-03,17,08,16
5109,68,2분,2020-06-03,17,08,19
5283,68,2분,2020-06-03,17,08,21
5345,68,4분,2020-06-03,17,08,22
15111,68,1분,2020-06-03,17,08,25
15116,68,2분,2020-06-03,17,08,27
15125,68,4분,2020-06-03,17,08,29
15153,68,1분,2020-06-03,17,08,32
15163,68,3분,2020-06-03,17,08,33
15166,68,1분,2020-06-03,17,08,35
15167,68,2분,2020-06-03,17,08,36
15173,68,3분,2020-06-03,17,08,38
15176,68,4분,2020-06-03,17,08,39
15216,68,5분,2020-06-03,17,08,41
15188,68,1분,2020-06-03,17,08,42
15201,68,2분,2020-06-03,17,08,44
15198,68,3분,2020-06-03,17,08,46
10075,68,1분,2020-06-03,17,08,47
10088,68,3분,2020-06-03,17,08,49
10084,68,4분,2020-06-03,17,08,51
10232,68,5분,2020-06-03,17,08,52
10078,68,3분,2020-06-03,17,08,56
10081,68,3분,2020-06-03,17,08,57
10092,68,1분,2020-06-03,17,09,01
10093,68,1분,2020-06-03,17,09,02
15199,68,4분,2020-06-03,17,09,04
15200,68,5분,2020-06-03,17,09,06
15189,68,6분,2020-06-03,17,09,07
15186,68,1분,2020-06-03,17,09,10
15175,68,2분,2020-06-03,17,09,12
15174,68,3분,2020-06-03,17,09,14
15168,68,4분,2020-06-03,17,09,15
15165,68,5분,2020-06-03,17,09,17
15154,68,2분,2020-06-03,17,09,20
15152,68,3분,2020-06-03,17,09,21
15124,68,1분,2020-06-03,17,09,23
15118,68,2분,2020-06-03,17,09,24
15115,68,4분,2020-06-03,17,09,26
15113,68,5분,2020-06-03,17,09,28
5112,68,6분,2020-06-03,17,09,29
5343,68,7분,2020-06-03,17,09,31
5060,68,2분,2020-06-03,17,09,34
5269,68,2분,2020-06-03,17,09,37
5195,68,3분,2020-06-03,17,09,39
5319,68,6분,2020-06-03,17,09,41
5236,68,1분,2020-06-03,17,09,42
5234,68,2분,2020-06-03,17,09,44
5230,68,4분,2020-06-03,17,09,45
5215,68,6분,2020-06-03,17,09,47
3149,68,6분,2020-06-03,17,09,49
7079,68,4분,2020-06-03,17,09,50
7045,68,1분,2020-06-03,17,09,52
3145,68,3분,2020-06-03,17,09,53
3150,68,4분,2020-06-03,17,09,55
5221,68,5분,2020-06-03,17,09,57
5227,68,6분,2020-06-03,17,09,58
5712,68,8분,2020-06-03,17,10,00
5190,68,4분,2020-06-03,17,10,03
5194,68,1분,2020-06-03,17,10,05
5268,68,2분,2020-06-03,17,10,07
5069,68,4분,2020-06-03,17,10,08
5109,68,1분,2020-06-03,17,10,10
5283,68,2분,2020-06-03,17,10,12
5345,68,3분,2020-06-03,17,10,13
5110,68,4분,2020-06-03,17,10,15
15111,68,5분,2020-06-03,17,10,16
15116,68,1분,2020-06-03,17,10,18
15125,68,3분,2020-06-03,17,10,20
15151,68,4분,2020-06-03,17,10,21
15153,68,5분,2020-06-03,17,10,23
15163,68,2분,2020-06-03,17,10,24
15167,68,1분,2020-06-03,17,10,27
15173,68,2분,2020-06-03,17,10,29
