0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
5190,138-1,11분,2020-06-03,17,04,39
5192,138-1,12분,2020-06-03,17,04,41
5340,138-1,15분,2020-06-03,17,04,42
5155,138-1,16분,2020-06-03,17,04,44
5153,138-1,18분,2020-06-03,17,04,46
5292,138-1,18분,2020-06-03,17,04,47
5101,138-1,20분,2020-06-03,17,04,49
5102,138-1,20분,2020-06-03,17,04,50
5103,138-1,22분,2020-06-03,17,04,52
5104,138-1,23분,2020-06-03,17,04,53
5108,138-1,24분,2020-06-03,17,04,55
15111,138-1,1분,2020-06-03,17,04,58
15117,138-1,2분,2020-06-03,17,05,00
15121,138-1,4분,2020-06-03,17,05,01
15283,138-1,5분,2020-06-03,17,05,03
15098,138-1,5분,2020-06-03,17,05,05
15081,138-1,7분,2020-06-03,17,05,06
15254,138-1,7분,2020-06-03,17,05,08
15073,138-1,12분,2020-06-03,17,05,09
15069,138-1,15분,2020-06-03,17,05,11
15143,138-1,1분,2020-06-03,17,05,14
15072,138-1,2분,2020-06-03,17,05,16
15255,138-1,3분,2020-06-03,17,05,17
15082,138-1,4분,2020-06-03,17,05,19
15097,138-1,6분,2020-06-03,17,05,21
15284,138-1,7분,2020-06-03,17,05,22
15122,138-1,7분,2020-06-03,17,05,24
15118,138-1,9분,2020-06-03,17,05,25
15115,138-1,11분,2020-06-03,17,05,27
15113,138-1,12분,2020-06-03,17,05,29
5112,138-1,13분,2020-06-03,17,05,30
5146,138-1,14분,2020-06-03,17,05,32
5149,138-1,1분,2020-06-03,17,05,36
5150,138-1,2분,2020-06-03,17,05,38
5152,138-1,4분,2020-06-03,17,05,40
5154,138-1,5분,2020-06-03,17,05,41
5158,138-1,6분,2020-06-03,17,05,43
5193,138-1,8분,2020-06-03,17,05,44
5321,138-1,11분,2020-06-03,17,05,46
5277,138-1,1분,2020-06-03,17,05,47
5253,138-1,2분,2020-06-03,17,05,49
5257,138-1,4분,2020-06-03,17,05,50
5259,138-1,5분,2020-06-03,17,05,52
7034,138-1,7분,2020-06-03,17,05,53
