0,1,2
Bus_No,Bus_Location,Date
138-1,신평시장,2020/06/03_17:01:27
138-1,동성화학,2020/06/03_17:01:27
138-1,한신아파트 2차,2020/06/03_17:01:27
138-1,경남정보대(냉정역),2020/06/03_17:01:27
138-1,문전교차로,2020/06/03_17:01:27
138-1,롯데호텔백화점(서면역),2020/06/03_17:01:27
138-1,부산공고,2020/06/03_17:01:27
138-1,한신문화타운,2020/06/03_17:01:27
138-1,문전교차로,2020/06/03_17:01:27
138-1,개포초등학교,2020/06/03_17:01:27
138-1,괘법르네시떼역.르네시떼,2020/06/03_17:01:27
138-1,강변아파트,2020/06/03_17:01:27
138-1,구평동주민센터,2020/06/03_17:01:27
138-1,신평시장,2020/06/03_17:01:46
138-1,동성화학,2020/06/03_17:01:46
138-1,한신아파트 2차,2020/06/03_17:01:46
138-1,냉정고개,2020/06/03_17:01:46
138-1,문전교차로,2020/06/03_17:01:46
138-1,롯데호텔백화점(서면역),2020/06/03_17:01:46
138-1,부산공고,2020/06/03_17:01:46
138-1,한신문화타운,2020/06/03_17:01:46
138-1,문전교차로,2020/06/03_17:01:46
138-1,개포초등학교,2020/06/03_17:01:46
138-1,괘법르네시떼역.르네시떼,2020/06/03_17:01:46
138-1,"가락타운2,3단지",2020/06/03_17:01:46
138-1,구평동주민센터,2020/06/03_17:01:46
138-1,동매역,2020/06/03_17:02:06
138-1,동성화학,2020/06/03_17:02:06
138-1,한신아파트 2차,2020/06/03_17:02:06
138-1,냉정고개,2020/06/03_17:02:06
138-1,문전교차로,2020/06/03_17:02:06
138-1,서면부속상가,2020/06/03_17:02:06
138-1,부산공고,2020/06/03_17:02:06
138-1,한신문화타운,2020/06/03_17:02:06
138-1,문전교차로,2020/06/03_17:02:06
138-1,개포초등학교,2020/06/03_17:02:06
138-1,괘법르네시떼역.르네시떼,2020/06/03_17:02:06
138-1,"가락타운2,3단지",2020/06/03_17:02:06
138-1,구평동주민센터,2020/06/03_17:02:06
138-1,동매역,2020/06/03_17:02:26
138-1,엄궁정비,2020/06/03_17:02:26
138-1,한신아파트 2차,2020/06/03_17:02:26
138-1,냉정고개,2020/06/03_17:02:26
138-1,국제금융센터(부산은행역),2020/06/03_17:02:26
138-1,서면부속상가,2020/06/03_17:02:26
138-1,부산공고,2020/06/03_17:02:26
138-1,한신문화타운,2020/06/03_17:02:26
138-1,문전교차로,2020/06/03_17:02:26
138-1,한국신발관,2020/06/03_17:02:26
138-1,괘법르네시떼역.르네시떼,2020/06/03_17:02:26
138-1,"가락타운2,3단지",2020/06/03_17:02:26
138-1,구평동주민센터,2020/06/03_17:02:26
138-1,동매역,2020/06/03_17:02:45
138-1,엄궁정비,2020/06/03_17:02:45
138-1,한신아파트 2차,2020/06/03_17:02:45
138-1,냉정고개,2020/06/03_17:02:45
138-1,국제금융센터(부산은행역),2020/06/03_17:02:45
138-1,서면부속상가,2020/06/03_17:02:45
138-1,부산공고,2020/06/03_17:02:45
138-1,한신문화타운,2020/06/03_17:02:45
138-1,문전교차로,2020/06/03_17:02:45
138-1,개금3동주민센터,2020/06/03_17:02:45
138-1,괘법르네시떼역.르네시떼,2020/06/03_17:02:45
138-1,"가락타운2,3단지",2020/06/03_17:02:45
138-1,구평동주민센터,2020/06/03_17:02:45
138-1,삼진냉장,2020/06/03_17:03:05
138-1,엄궁정비,2020/06/03_17:03:05
138-1,한신아파트 2차,2020/06/03_17:03:05
138-1,냉정고개,2020/06/03_17:03:05
138-1,국제금융센터(부산은행역),2020/06/03_17:03:05
138-1,서면부속상가,2020/06/03_17:03:05
138-1,부산공고,2020/06/03_17:03:05
138-1,한신문화타운,2020/06/03_17:03:05
138-1,문전교차로,2020/06/03_17:03:05
138-1,개금3동주민센터,2020/06/03_17:03:05
138-1,괘법르네시떼역.르네시떼,2020/06/03_17:03:05
138-1,"가락타운2,3단지",2020/06/03_17:03:05
138-1,구평동주민센터,2020/06/03_17:03:05
138-1,삼진냉장,2020/06/03_17:03:25
138-1,감전동이마트,2020/06/03_17:03:25
138-1,한신아파트 1차,2020/06/03_17:03:25
138-1,냉정고개,2020/06/03_17:03:25
138-1,국제금융센터(부산은행역),2020/06/03_17:03:25
138-1,서면부속상가,2020/06/03_17:03:25
138-1,부산공고,2020/06/03_17:03:25
138-1,한신문화타운,2020/06/03_17:03:25
138-1,문전교차로,2020/06/03_17:03:25
138-1,개금3동주민센터,2020/06/03_17:03:25
138-1,괘법르네시떼역.르네시떼,2020/06/03_17:03:25
138-1,"가락타운2,3단지",2020/06/03_17:03:25
138-1,구평동주민센터,2020/06/03_17:03:25
138-1,무지개아파트,2020/06/03_17:03:44
138-1,감전동이마트,2020/06/03_17:03:44
138-1,한신아파트 1차,2020/06/03_17:03:44
138-1,냉정고개,2020/06/03_17:03:44
138-1,서면부속상가,2020/06/03_17:03:44
138-1,성동초등학교후문,2020/06/03_17:03:44
138-1,부산공고,2020/06/03_17:03:44
138-1,유엔공원.부산문화회관,2020/06/03_17:03:44
138-1,문전교차로,2020/06/03_17:03:44
138-1,개금3동주민센터,2020/06/03_17:03:44
138-1,감전동수문앞,2020/06/03_17:03:44
138-1,하남초등학교,2020/06/03_17:03:44
138-1,구평동주민센터,2020/06/03_17:03:44
138-1,무지개아파트,2020/06/03_17:04:04
138-1,감전동이마트,2020/06/03_17:04:04
138-1,한신아파트 1차,2020/06/03_17:04:04
138-1,개금역.개금초등학교,2020/06/03_17:04:04
138-1,서면부속상가,2020/06/03_17:04:04
138-1,성동초등학교후문,2020/06/03_17:04:04
138-1,부산공고,2020/06/03_17:04:04
138-1,석포여중,2020/06/03_17:04:04
138-1,경남공고(전포역),2020/06/03_17:04:04
138-1,개금3동주민센터,2020/06/03_17:04:04
138-1,감전동수문앞,2020/06/03_17:04:04
138-1,하남초등학교,2020/06/03_17:04:04
138-1,구평동주민센터,2020/06/03_17:04:04
138-1,기점,2020/06/03_17:04:24
138-1,무지개아파트,2020/06/03_17:04:24
