0,1,2
Bus_No,Bus_Location,Date
138-1,"가락타운2,3단지",2020/06/06_07:00:29
138-1,부산전문장례식장,2020/06/06_07:00:29
138-1,냉정고개,2020/06/06_07:00:29
138-1,신선대CNG충전소,2020/06/06_07:00:29
138-1,동림맨션,2020/06/06_07:00:29
138-1,롯데호텔백화점(서면역),2020/06/06_07:00:29
138-1,북부산세무서(감전역),2020/06/06_07:00:29
138-1,엄궁삼거리,2020/06/06_07:00:29
138-1,강변아파트,2020/06/06_07:00:49
138-1,부산전문장례식장,2020/06/06_07:00:49
138-1,냉정고개,2020/06/06_07:00:49
138-1,신선대CNG충전소,2020/06/06_07:00:49
138-1,성지고등학교,2020/06/06_07:00:49
138-1,롯데호텔백화점(서면역),2020/06/06_07:00:49
138-1,북부산세무서(감전역),2020/06/06_07:00:49
138-1,엄궁삼거리,2020/06/06_07:00:49
138-1,강변아파트,2020/06/06_07:01:08
138-1,감전동수문앞,2020/06/06_07:01:08
138-1,냉정고개,2020/06/06_07:01:08
138-1,신선대CNG충전소,2020/06/06_07:01:08
138-1,성지고등학교,2020/06/06_07:01:08
138-1,롯데호텔백화점(서면역),2020/06/06_07:01:08
138-1,삼대한의원,2020/06/06_07:01:08
138-1,엄궁삼거리,2020/06/06_07:01:08
138-1,강변아파트,2020/06/06_07:01:27
138-1,감전동수문앞,2020/06/06_07:01:27
138-1,개금역.개금초등학교,2020/06/06_07:01:27
138-1,신선대CNG충전소,2020/06/06_07:01:27
138-1,성지고등학교,2020/06/06_07:01:27
138-1,롯데호텔백화점(서면역),2020/06/06_07:01:27
138-1,삼대한의원,2020/06/06_07:01:27
138-1,엄궁동주민센터,2020/06/06_07:01:27
138-1,가락타운104동,2020/06/06_07:01:47
138-1,감전동수문앞,2020/06/06_07:01:47
138-1,개금역.개금초등학교,2020/06/06_07:01:47
138-1,성동초등학교후문,2020/06/06_07:01:47
138-1,신선대CNG충전소,2020/06/06_07:01:47
138-1,성지고등학교,2020/06/06_07:01:47
138-1,부암역.당감입구,2020/06/06_07:01:47
138-1,삼대한의원,2020/06/06_07:01:47
138-1,엄궁동주민센터,2020/06/06_07:01:47
138-1,가락타운104동,2020/06/06_07:02:06
138-1,감전동수문앞,2020/06/06_07:02:06
138-1,개금3동주민센터,2020/06/06_07:02:06
138-1,성동초등학교후문,2020/06/06_07:02:06
138-1,신선대CNG충전소,2020/06/06_07:02:06
138-1,우암뉴서울아파트,2020/06/06_07:02:06
138-1,부암역.당감입구,2020/06/06_07:02:06
138-1,삼대한의원,2020/06/06_07:02:06
138-1,엄궁동주민센터,2020/06/06_07:02:06
138-1,기점,2020/06/06_07:02:25
138-1,가락타운104동,2020/06/06_07:02:25
138-1,감전동수문앞,2020/06/06_07:02:25
138-1,한국신발관,2020/06/06_07:02:25
138-1,성동초등학교후문,2020/06/06_07:02:25
138-1,신선대CNG충전소,2020/06/06_07:02:25
138-1,우암뉴서울아파트,2020/06/06_07:02:25
138-1,부암역.당감입구,2020/06/06_07:02:25
138-1,삼대한의원,2020/06/06_07:02:25
138-1,엄궁한신1차아파트,2020/06/06_07:02:25
138-1,기점,2020/06/06_07:02:45
138-1,가락타운104동,2020/06/06_07:02:45
138-1,산업용품상가,2020/06/06_07:02:45
138-1,한국신발관,2020/06/06_07:02:45
138-1,성동초등학교후문,2020/06/06_07:02:45
138-1,신선대CNG충전소,2020/06/06_07:02:45
138-1,우암초등학교,2020/06/06_07:02:45
138-1,부암역.당감입구,2020/06/06_07:02:45
138-1,삼대한의원,2020/06/06_07:02:45
138-1,엄궁한신1차아파트,2020/06/06_07:02:45
138-1,기점,2020/06/06_07:03:04
138-1,가락타운104동,2020/06/06_07:03:04
138-1,산업용품상가,2020/06/06_07:03:04
138-1,한국신발관,2020/06/06_07:03:04
138-1,성동초등학교후문,2020/06/06_07:03:04
138-1,신선대CNG충전소,2020/06/06_07:03:04
138-1,우암초등학교,2020/06/06_07:03:04
138-1,부암역.당감입구,2020/06/06_07:03:04
138-1,사상우체국,2020/06/06_07:03:04
138-1,엄궁한신1차아파트,2020/06/06_07:03:04
138-1,기점,2020/06/06_07:03:24
138-1,가락타운104동,2020/06/06_07:03:24
138-1,산업용품상가,2020/06/06_07:03:24
138-1,개포초등학교,2020/06/06_07:03:24
138-1,성동초등학교후문,2020/06/06_07:03:24
138-1,신선대CNG충전소,2020/06/06_07:03:24
138-1,우암초등학교,2020/06/06_07:03:24
138-1,부암역.당감입구,2020/06/06_07:03:24
138-1,사상우체국,2020/06/06_07:03:24
138-1,엄궁한신1차아파트,2020/06/06_07:03:24
138-1,기점,2020/06/06_07:03:43
138-1,가락타운115동,2020/06/06_07:03:43
138-1,산업용품상가,2020/06/06_07:03:43
138-1,개포초등학교,2020/06/06_07:03:43
138-1,성동초등학교후문,2020/06/06_07:03:43
138-1,신선대CNG충전소,2020/06/06_07:03:43
138-1,남부중앙새마을금고,2020/06/06_07:03:43
138-1,부암역.당감입구,2020/06/06_07:03:43
138-1,사상우체국,2020/06/06_07:03:43
138-1,엄궁한신1차아파트,2020/06/06_07:03:43
138-1,기점,2020/06/06_07:04:02
138-1,가락타운115동,2020/06/06_07:04:02
138-1,산업용품상가,2020/06/06_07:04:02
138-1,개금주공아파트,2020/06/06_07:04:02
138-1,성동초등학교후문,2020/06/06_07:04:02
138-1,신선대CNG충전소,2020/06/06_07:04:02
138-1,남부중앙새마을금고,2020/06/06_07:04:02
138-1,부암역.당감입구,2020/06/06_07:04:02
138-1,사상우체국,2020/06/06_07:04:02
138-1,엄궁한신1차아파트,2020/06/06_07:04:02
138-1,기점,2020/06/06_07:04:22
138-1,엄궁한신1차아파트,2020/06/06_07:04:22
138-1,괘법르네시떼역.르네시떼,2020/06/06_07:04:22
138-1,개금주공아파트,2020/06/06_07:04:22
138-1,7부두,2020/06/06_07:04:22
138-1,신선대CNG충전소,2020/06/06_07:04:22
138-1,7부두,2020/06/06_07:04:22
138-1,부암역.당감입구,2020/06/06_07:04:22
138-1,서부시외버스터미널(사상역),2020/06/06_07:04:22
138-1,엄궁한신1차아파트,2020/06/06_07:04:22
138-1,기점,2020/06/06_07:04:41
138-1,엄궁한신1차아파트,2020/06/06_07:04:41
138-1,괘법르네시떼역.르네시떼,2020/06/06_07:04:41
138-1,개금주공아파트,2020/06/06_07:04:41
138-1,7부두,2020/06/06_07:04:41
138-1,신선대CNG충전소,2020/06/06_07:04:41
138-1,7부두,2020/06/06_07:04:41
138-1,부암역.당감입구,2020/06/06_07:04:41
138-1,서부시외버스터미널(사상역),2020/06/06_07:04:41
138-1,하단SK뷰아파트앞,2020/06/06_07:04:41
138-1,기점,2020/06/06_07:05:01
138-1,엄궁한신1차아파트,2020/06/06_07:05:01
138-1,괘법르네시떼역.르네시떼,2020/06/06_07:05:01
138-1,당평초등학교,2020/06/06_07:05:01
138-1,7부두,2020/06/06_07:05:01
138-1,신선대CNG충전소,2020/06/06_07:05:01
138-1,7부두,2020/06/06_07:05:01
138-1,부암역.당감입구,2020/06/06_07:05:01
138-1,서부시외버스터미널(사상역),2020/06/06_07:05:01
138-1,하단SK뷰아파트앞,2020/06/06_07:05:01
138-1,구평동주민센터,2020/06/06_07:05:20
138-1,엄궁한신1차아파트,2020/06/06_07:05:20
138-1,동원아파트앞,2020/06/06_07:05:20
138-1,당평초등학교,2020/06/06_07:05:20
138-1,7부두,2020/06/06_07:05:20
138-1,신선대CNG충전소,2020/06/06_07:05:20
138-1,7부두,2020/06/06_07:05:20
138-1,부암역.당감입구,2020/06/06_07:05:20
138-1,서부시외버스터미널(사상역),2020/06/06_07:05:20
138-1,하단SK뷰아파트앞,2020/06/06_07:05:20
138-1,구평e편한세상입구,2020/06/06_07:05:39
138-1,엄궁한신1차아파트,2020/06/06_07:05:39
138-1,동원아파트앞,2020/06/06_07:05:39
138-1,당감입구교차로,2020/06/06_07:05:39
138-1,7부두,2020/06/06_07:05:39
138-1,신선대CNG충전소,2020/06/06_07:05:39
138-1,7부두,2020/06/06_07:05:39
138-1,부암역.당감입구,2020/06/06_07:05:39
138-1,서부시외버스터미널(사상역),2020/06/06_07:05:39
138-1,하단SK뷰아파트앞,2020/06/06_07:05:39
138-1,구평e편한세상입구,2020/06/06_07:05:59
138-1,엄궁한신1차아파트,2020/06/06_07:05:59
138-1,삼락생태공원,2020/06/06_07:05:59
138-1,당감입구교차로,2020/06/06_07:05:59
138-1,7부두,2020/06/06_07:05:59
138-1,신선대CNG충전소,2020/06/06_07:05:59
138-1,7부두,2020/06/06_07:05:59
138-1,진양교차로,2020/06/06_07:05:59
138-1,서부시외버스터미널(사상역),2020/06/06_07:05:59
138-1,하단SK뷰아파트앞,2020/06/06_07:05:59
138-1,구평e편한세상입구,2020/06/06_07:06:18
138-1,엄궁한신1차아파트,2020/06/06_07:06:18
138-1,삼락생태공원,2020/06/06_07:06:18
138-1,당감입구교차로,2020/06/06_07:06:18
138-1,우암초등학교,2020/06/06_07:06:18
138-1,신선대CNG충전소,2020/06/06_07:06:18
138-1,진양교차로,2020/06/06_07:06:18
138-1,문현교차로,2020/06/06_07:06:18
138-1,서부시외버스터미널(사상역),2020/06/06_07:06:18
138-1,하단SK뷰아파트앞,2020/06/06_07:06:18
138-1,구평e편한세상입구,2020/06/06_07:06:38
138-1,엄궁한신1차아파트,2020/06/06_07:06:38
138-1,삼락생태공원,2020/06/06_07:06:38
138-1,당감입구교차로,2020/06/06_07:06:38
138-1,우암초등학교,2020/06/06_07:06:38
